context_length,alpha,beta,adapt,chars_processed,time_microsec,bpc
6,49,77,1,22500000,5163421,0
6,49,77,1,23000000,5274822,0
6,49,77,1,23500000,5387404,0
6,49,77,1,24000000,5501567,0
6,49,77,1,24500000,5612939,0
6,49,77,1,25000000,5725377,0
6,49,77,1,25500000,5837544,0
6,49,77,1,26000000,5949482,0
6,49,77,1,26500000,6061809,0
6,49,77,1,27000000,6174395,0
6,49,77,1,27500000,6288755,0
6,49,77,1,28000000,6400328,0
6,49,77,1,28500000,6514172,0
6,49,77,1,29000000,6626580,0
6,49,77,1,29500000,6736013,0
6,49,77,1,30000000,6845790,0
6,49,77,1,30500000,6957098,0
6,49,77,1,31000000,7067407,0
6,49,77,1,31500000,7179753,0
6,49,77,1,32000000,7291037,0
6,49,77,1,32500000,7400613,0
6,49,77,1,33000000,7511507,0
6,49,77,1,33500000,7625570,0
6,49,77,1,34000000,7736379,0
6,49,77,1,34500000,7846121,0
6,49,77,1,35000000,7957951,0
6,49,77,1,35500000,8067150,0
6,49,77,1,36000000,8180937,0
6,49,77,1,36500000,8292013,0
6,49,77,1,37000000,8403133,0
6,49,77,1,37500000,8513569,0
6,49,77,1,38000000,8624966,0
6,49,77,1,38500000,8735859,0
6,49,77,1,39000000,8847093,0
6,49,77,1,39500000,8958378,0
6,49,77,1,40000000,9067740,0
6,49,77,1,40500000,9178434,0
6,49,77,1,41000000,9289208,0
6,49,77,1,41500000,9399989,0
6,49,77,1,42000000,9510845,0
6,49,77,1,42500000,9620620,0
6,49,77,1,43000000,9731271,0
6,49,77,1,43500000,9842372,0
6,49,77,1,44000000,9953400,0
6,49,77,1,44500000,10065807,0
6,49,77,1,45000000,10176914,0
6,49,77,1,45500000,10288253,0
6,49,77,1,46000000,10398812,0
6,49,77,1,46500000,10508572,0
6,49,77,1,47000000,10619205,0
6,49,77,1,47500000,10729613,0
6,49,77,1,48000000,10839016,0
6,49,77,1,48500000,10948489,0
6,49,77,1,49000000,11058706,0
6,49,77,1,49500000,11168005,0
6,49,77,1,50000000,11277468,0
6,49,77,1,50500000,11386612,0
6,49,77,1,51000000,11497057,0
6,49,77,1,51500000,11607284,0
6,49,77,1,52000000,11718145,0
6,49,77,1,52500000,11828270,0
6,49,77,1,53000000,11937366,0
6,49,77,1,53500000,12048480,0
6,49,77,1,54000000,12160150,0
6,49,77,1,54500000,12271836,0
6,49,77,1,55000000,12381406,0
6,49,77,1,55500000,12492262,0
6,49,77,1,56000000,12601005,0
6,49,77,1,56500000,12711778,0
6,49,77,1,57000000,12822166,0
6,49,77,1,57500000,12933255,0
6,49,77,1,58000000,13043367,0
6,49,77,1,58500000,13152524,0
6,49,77,1,59000000,13263762,0
6,49,77,1,59500000,13372978,0
6,49,77,1,60000000,13483689,0
6,49,77,1,60500000,13592925,0
6,49,77,1,61000000,13703146,0
6,49,77,1,61500000,13813884,0
6,49,77,1,62000000,13923649,0
6,49,77,1,62500000,14034307,0
