context_length,alpha,beta,adapt,pretrain,bpc,time_microsec
6,81,65,0,1,2.55019,128788755
6,81,65,1,1,2.52747,129246523
6,81,73,0,1,2.55006,128677681
6,81,73,1,1,2.52818,129264331
6,81,81,0,1,2.55168,128737002
6,81,81,1,1,2.52996,129251644
6,81,89,0,1,2.55476,129202543
6,81,89,1,1,2.53341,129313938
6,81,97,0,1,2.5614,128640861
6,81,97,1,1,2.54056,129205961
6,89,1,0,1,2.58144,128693143
6,89,1,1,1,2.55187,129416581
6,89,9,0,1,2.57259,128421799
6,89,9,1,1,2.54419,129048300
6,89,17,0,1,2.5661,128636499
6,89,17,1,1,2.53884,129316544
6,89,25,0,1,2.56104,128949197
6,89,25,1,1,2.5349,129176695
6,89,33,0,1,2.55739,128629700
6,89,33,1,1,2.53196,129299088
6,89,41,0,1,2.55452,128713729
6,89,41,1,1,2.5299,129434653
6,89,49,0,1,2.55228,128813470
6,89,49,1,1,2.52845,129169335
6,89,57,0,1,2.55072,128901949
6,89,57,1,1,2.52751,129159678
6,89,65,0,1,2.54984,131385148
6,89,65,1,1,2.5273,129293315
6,89,73,0,1,2.54993,128684268
6,89,73,1,1,2.52807,129353001
6,89,81,0,1,2.55161,128997138
6,89,81,1,1,2.52987,129183843
6,89,89,0,1,2.5546,129116053
6,89,89,1,1,2.53335,129345536
6,89,97,0,1,2.56121,128806493
6,89,97,1,1,2.54045,129171967
6,97,1,0,1,2.57951,128623865
6,97,1,1,1,2.55025,129112537
6,97,9,0,1,2.5711,128946904
6,97,9,1,1,2.54302,129551443
6,97,17,0,1,2.56497,128721175
6,97,17,1,1,2.53794,129457166
6,97,25,0,1,2.56015,128764838
6,97,25,1,1,2.53424,129572132
6,97,33,0,1,2.55664,128811543
6,97,33,1,1,2.53144,129415940
6,97,41,0,1,2.55397,128898894
6,97,41,1,1,2.5295,129354510
6,97,49,0,1,2.55182,129007111
6,97,49,1,1,2.52813,129487175
6,97,57,0,1,2.55031,128692639
6,97,57,1,1,2.52725,129570369
6,97,65,0,1,2.54957,128637664
6,97,65,1,1,2.52714,129146816
6,97,73,0,1,2.54969,129298297
6,97,73,1,1,2.52795,129476886
6,97,81,0,1,2.55142,128710878
6,97,81,1,1,2.52979,129468684
6,97,89,0,1,2.55442,131687596
6,97,89,1,1,2.5333,129200748
6,97,97,0,1,2.56103,128839584
6,97,97,1,1,2.54035,129332135
7,1,1,0,1,2.40962,139905818
7,1,1,1,1,2.3424,140166686
7,1,9,0,1,2.3198,139025917
7,1,9,1,1,2.26339,139238077
7,1,17,0,1,2.28257,138715725
7,1,17,1,1,2.23043,139361882
7,1,25,0,1,2.25829,138561077
7,1,25,1,1,2.20912,139504681
7,1,33,0,1,2.24088,138734330
7,1,33,1,1,2.19393,139197127
7,1,41,0,1,2.22765,138840459
7,1,41,1,1,2.18267,139312200
7,1,49,0,1,2.21713,138445282
7,1,49,1,1,2.17396,139199494
7,1,57,0,1,2.20897,138661650
7,1,57,1,1,2.1674,139345026
7,1,65,0,1,2.20322,139126179
7,1,65,1,1,2.16277,139185454
7,1,73,0,1,2.19925,138610564
7,1,73,1,1,2.16017,139141695
7,1,81,0,1,2.19823,138551117
7,1,81,1,1,2.15983,139116386
7,1,89,0,1,2.20039,139686343
7,1,89,1,1,2.16312,139164714
7,1,97,0,1,2.21096,138469756
7,1,97,1,1,2.17456,139374977
7,9,1,0,1,2.35544,138414062
7,9,1,1,1,2.29484,139109923
7,9,9,0,1,2.30075,138417206
7,9,9,1,1,2.24679,139313299
7,9,17,0,1,2.2712,138145049
7,9,17,1,1,2.22061,138901128
7,9,25,0,1,2.25051,141174022
7,9,25,1,1,2.20247,138958036
7,9,33,0,1,2.2353,138194200
7,9,33,1,1,2.1892,138933214
7,9,41,0,1,2.22345,138466397
7,9,41,1,1,2.17913,138983646
7,9,49,0,1,2.21395,139020337
7,9,49,1,1,2.17135,139084317
7,9,57,0,1,2.20653,138370106
7,9,57,1,1,2.16543,139278813
7,9,65,0,1,2.20132,138500271
7,9,65,1,1,2.1613,139290319
7,9,73,0,1,2.19783,141533470
7,9,73,1,1,2.15909,138965385
7,9,81,0,1,2.19709,138471213
7,9,81,1,1,2.15904,139163903
7,9,89,0,1,2.19959,138298992
7,9,89,1,1,2.16248,138941846
7,9,97,0,1,2.21022,138473784
7,9,97,1,1,2.17399,139085904
7,17,1,0,1,2.32989,138408497
7,17,1,1,1,2.27242,139512621
7,17,9,0,1,2.28761,138765021
7,17,9,1,1,2.23535,139251348
7,17,17,0,1,2.26252,138781402
7,17,17,1,1,2.21309,139816548
7,17,25,0,1,2.24432,138687890
7,17,25,1,1,2.19716,139343516
7,17,33,0,1,2.23065,138689505
7,17,33,1,1,2.18526,139570244
7,17,41,0,1,2.21987,138680953
7,17,41,1,1,2.17617,139251044
7,17,49,0,1,2.21121,138664207
7,17,49,1,1,2.1691,139250184
7,17,57,0,1,2.20436,138629414
7,17,57,1,1,2.1637,139561537
7,17,65,0,1,2.19967,138490776
7,17,65,1,1,2.16,139323174
7,17,73,0,1,2.19658,141465600
7,17,73,1,1,2.15812,139627888
7,17,81,0,1,2.19607,138857588
7,17,81,1,1,2.15832,139469551
7,17,89,0,1,2.19884,138824434
7,17,89,1,1,2.16191,139398545
7,17,97,0,1,2.20949,138666056
7,17,97,1,1,2.17344,139245730
7,25,1,0,1,2.31267,138757333
7,25,1,1,1,2.25733,139377358
7,25,9,0,1,2.27755,138964124
7,25,9,1,1,2.2266,139532245
7,25,17,0,1,2.25548,138908743
7,25,17,1,1,2.20701,139395072
7,25,25,0,1,2.23919,138608009
7,25,25,1,1,2.19281,139216410
7,25,33,0,1,2.22674,139405878
7,25,33,1,1,2.18194,139359340
7,25,41,0,1,2.2169,138664559
7,25,41,1,1,2.17364,139396076
7,25,49,0,1,2.20883,139100114
7,25,49,1,1,2.16712,139143953
7,25,57,0,1,2.2025,138590116
7,25,57,1,1,2.16221,139354953
7,25,65,0,1,2.19824,138719428
7,25,65,1,1,2.15885,139173721
7,25,73,0,1,2.19544,138622597
7,25,73,1,1,2.15725,139712418
7,25,81,0,1,2.19523,138570920
7,25,81,1,1,2.15765,139673203
7,25,89,0,1,2.1981,139019872
7,25,89,1,1,2.16138,139184924
7,25,97,0,1,2.20876,139046232
7,25,97,1,1,2.17293,139462540
7,33,1,0,1,2.29973,141596654
7,33,1,1,1,2.24601,139254658
7,33,9,0,1,2.26934,138596779
7,33,9,1,1,2.2195,139598652
7,33,17,0,1,2.24962,139210030
7,33,17,1,1,2.20196,139189943
7,33,25,0,1,2.23474,138761934
7,33,25,1,1,2.18903,139626306
7,33,33,0,1,2.22332,138685438
7,33,33,1,1,2.17905,139171038
7,33,41,0,1,2.21418,138859298
7,33,41,1,1,2.17144,138958484
7,33,49,0,1,2.20675,138592067
7,33,49,1,1,2.16538,138981426
7,33,57,0,1,2.20086,138854305
7,33,57,1,1,2.16087,139422980
7,33,65,0,1,2.1969,138677037
7,33,65,1,1,2.15782,139103952
7,33,73,0,1,2.19439,139307825
7,33,73,1,1,2.15647,139189568
7,33,81,0,1,2.1945,138840290
7,33,81,1,1,2.15703,139546971
7,33,89,0,1,2.19746,138585633
7,33,89,1,1,2.16092,139115890
7,33,97,0,1,2.20813,138760211
7,33,97,1,1,2.17244,139333974
7,41,1,0,1,2.2894,138806392
7,41,1,1,1,2.23698,139450409
7,41,9,0,1,2.26248,139067656
7,41,9,1,1,2.21356,139303821
7,41,17,0,1,2.24455,138610472
7,41,17,1,1,2.19766,139165017
7,41,25,0,1,2.23089,138672840
7,41,25,1,1,2.18577,139226631
7,41,33,0,1,2.22029,138702151
7,41,33,1,1,2.17651,139237246
7,41,41,0,1,2.21177,138591924
7,41,41,1,1,2.16944,139197291
7,41,49,0,1,2.20477,138615419
7,41,49,1,1,2.16383,139506445
7,41,57,0,1,2.19931,138557874
7,41,57,1,1,2.15967,139261834
7,41,65,0,1,2.1957,141661906
7,41,65,1,1,2.15688,139141328
7,41,73,0,1,2.19342,138602544
7,41,73,1,1,2.15574,139153062
7,41,81,0,1,2.19384,139405403
7,41,81,1,1,2.15647,139054595
7,41,89,0,1,2.19682,138810769
7,41,89,1,1,2.16044,139269331
7,41,97,0,1,2.20751,138749816
7,41,97,1,1,2.17199,139195133
7,49,1,0,1,2.28081,138924265
7,49,1,1,1,2.22948,139434852
7,49,9,0,1,2.2566,138826486
7,49,9,1,1,2.20847,139216268
7,49,17,0,1,2.24021,138601190
7,49,17,1,1,2.19397,139899134
7,49,25,0,1,2.2275,138376737
7,49,25,1,1,2.18287,139216578
7,49,33,0,1,2.21756,139643066
7,49,33,1,1,2.17427,139428735
7,49,41,0,1,2.20959,138896691
7,49,41,1,1,2.16765,139498308
7,49,49,0,1,2.20304,139033567
7,49,49,1,1,2.16245,139213004
7,49,57,0,1,2.19792,138559078
7,49,57,1,1,2.15856,139271487
7,49,65,0,1,2.19457,138788160
7,49,65,1,1,2.15604,139154472
7,49,73,0,1,2.19249,138278640
7,49,73,1,1,2.15509,139480904
7,49,81,0,1,2.1931,138481219
7,49,81,1,1,2.15595,139143061
7,49,89,0,1,2.19623,138537281
7,49,89,1,1,2.16002,139638200
7,49,97,0,1,2.20694,138508433
7,49,97,1,1,2.17157,139218391
7,57,1,0,1,2.2735,138609294
7,57,1,1,1,2.22313,139459376
7,57,9,0,1,2.25145,138222079
7,57,9,1,1,2.20404,138952464
7,57,17,0,1,2.23629,138710678
7,57,17,1,1,2.19066,139218343
7,57,25,0,1,2.22442,138718497
7,57,25,1,1,2.18028,139236000
7,57,33,0,1,2.2151,138706541
7,57,33,1,1,2.17226,139222786
7,57,41,0,1,2.20758,138586354
7,57,41,1,1,2.16604,139312575
